upc,product_description,commodity,brand,product_size,brand_commodity,brand_commodity_unique,brand_commodity_size,brand_commodity_size_unique
1480071116,GRANDMA MOLASES-GREEN,syrups,Grandma Molases,12 OZ,Grandma Molases syrups,Mueller pasta,Grandma Molases syrups 12 OZ,Pennsylvania Dutch pasta 12 OZ
1480071124,GRANDMA MOLASES-YELOW,syrups,Grandma Molases,12 OZ,Grandma Molases syrups,La Moderna pasta,Grandma Molases syrups 12 OZ,Healthy Harvest pasta 13.25 OZ
1488650001,DELL AMORE ORG RECPT SCE,pasta sauce,Dell Amore,26 OZ,Dell Amore pasta sauce,Aunt Jemima syrups,Dell Amore pasta sauce 26 OZ,Bisquick pancake mixes 6.75 OZ
1488650005,DELL AMORE FRSH BASL G,pasta sauce,Dell Amore,26 OZ,Dell Amore pasta sauce,Aunt Jemima pancake mixes,Dell Amore pasta sauce 26 OZ,Bisquick pancake mixes 7 OZ
1488688462,DELL AMORE SCE BSL/GRLC,pasta sauce,Dell Amore,16 OZ,Dell Amore pasta sauce,Tree of Life syrups,Dell Amore pasta sauce 16 OZ,Bisquick pancake mixes 7.75 OZ
1510000001,CRMET ELBW MACARONI SMALL,pasta,Creamette,7 OZ,Creamette pasta,Fifty 50 syrups,Creamette pasta 7 OZ,Bruce's pancake mixes 1.5 LB
1510000003,CREAMETTE JUMBO ELBOW MAC,pasta,Creamette,16 OZ,Creamette pasta,White Lily pancake mixes,Creamette pasta 16 OZ,Hungry Jack syrups 27.6 OZ
1510000004,CRMET SHELLS SMALL,pasta,Creamette,7 OZ,Creamette pasta,Sugar Buster pasta,Creamette pasta 7 OZ,Hungry Jack pancake mixes 16 OZ
1510000007,CREAMETTE ELBOW MACARONI,pasta,Creamette,N     1 LB,Creamette pasta,Ronzoni pasta,Creamette pasta N     1 LB,Hungry Jack pancake mixes 32 OZ
1510000011,CREAMETTE ELBO MACARONI,pasta,Creamette,32 OZ,Creamette pasta,San Giorgio pasta,Creamette pasta 32 OZ,Hungry Jack pancake mixes  
1510000013,CREAMETTE VERMICELLI,pasta,Creamette,N     1 LB,Creamette pasta,China Mandarin pasta,Creamette pasta N     1 LB,Hungry Jack pancake mixes 37 OZ
1510000014,CREAMETTE ROTINI RAINBOW,pasta,Creamette,1 LB,Creamette pasta,Ragu pasta sauce,Creamette pasta 1 LB,Newman's pasta sauce 26 OZ
1510000016,CREAMETTE WAGON WHEELS,pasta,Creamette,16 OZ,Creamette pasta,Bertolli pasta sauce,Creamette pasta 16 OZ,Kraft pasta 6.75 OZ
1510000017,CRMET LONG SPAG,pasta,Creamette,7 OZ,Creamette pasta,Farm Style pasta,Creamette pasta 7 OZ,Kraft pasta 7.25 OZ
1510000018,CRMET VERMICELLI,pasta,Creamette,7 OZ,Creamette pasta,DaVinci syrups,Creamette pasta 7 OZ,Brier Rabbit syrups 12 OZ
1510000026,CRMET EGG NOODLES-WIDE,pasta,Creamette,1 LB,Creamette pasta,Kellogg syrups,Creamette pasta 1 LB,Brier Rabbit syrups 12 FL OZ
1510000027,CREAMETTE X-WIDE NOODLE,pasta,Creamette,16  OZ,Creamette pasta,Spring Tree syrups,Creamette pasta 16  OZ,Sobrab Bkstrp syrups 12 OZ
1510000031,CREAMETTE LASAGNA MACR,pasta,Creamette,16  Z,Creamette pasta,Colavita pasta,Creamette pasta 16  Z,Dececco pasta 16 OZ
1510000039,CREAMETTE MOSTACCIOLI,pasta,Creamette,16 OZ,Creamette pasta,Colavita pasta sauce,Creamette pasta 16 OZ,Dececco pasta KH# 8652
1510000042,CREAMETTE SPAGHETTI THIN,pasta,Creamette,32 OZ,Creamette pasta,Pasta Shoppe pasta,Creamette pasta 32 OZ,Dececco pasta KH# 8651
1510000043,CREAMETTE SPAGHETTI,pasta,Creamette,16 OZ,Creamette pasta,San Marzano pasta sauce,Creamette pasta 16 OZ,Dececco pasta KH# 8623
1510000044,CRMET THIN SPAGHETTI,pasta,Creamette,7 OZ,Creamette pasta,Classico pasta sauce,Creamette pasta 7 OZ,Dececco pasta 1 LB
1510000048,CREAMETTE THIN VERMICELLI,pasta,Creamette,32 OZ,Creamette pasta,B F pasta sauce,Creamette pasta 32 OZ,Dececco pasta KH# 13384
1510000049,CREAMETTE MANICOTTI,pasta,Creamette,8 OZ,Creamette pasta,Krusteaz pancake mixes,Creamette pasta 8 OZ,Dececco pasta KH# 8525
1510000069,CREAMETTE KDS CLB ELBOW S,pasta,Creamette,16 OZ,Creamette pasta,Pioneer pancake mixes,Creamette pasta 16 OZ,Dececco pasta KH# 8627
1510000072,CREAMETTE KDS CLB TWISTS,pasta,Creamette,16 OZ,Creamette pasta,Pennant syrups,Creamette pasta 16 OZ,Dececco pasta 17.5 OZ
1510000073,CREAMETTE SHELL MEDIUM,pasta,Creamette,1 LB,Creamette pasta,Lund Swede pancake mixes,Creamette pasta 1 LB,Dececco pasta 17 OZ
1510000160,SO CREAMETTE JUMBO SHELLS,pasta,Creamette,12 OZ,Creamette pasta,Braswell syrups,Creamette pasta 12 OZ,Eden pasta 10 OZ
1510000162,CREAMETTE SPAGHETTI,pasta,Creamette,2 LB,Creamette pasta,Log Cabin syrups,Creamette pasta 2 LB,Pomi pasta sauce 26 OZ
1510000163,CREAMETTE SPAGHETTI THIN,pasta,Creamette,16OZ,Creamette pasta,Buitoni pasta sauce,Creamette pasta 16OZ,Annarino pasta sauce 31.5 OZ
1510000167,CREAMETTE ANGEL HAIR PSTA,pasta,Creamette,16 OZ,Creamette pasta,Mrs Butterworth syrups,Creamette pasta 16 OZ,Annarino pasta sauce 31 1/2 OZ
1510000236,CREAMETTE PENNE RIGATE,pasta,Creamette,16 OZ,Creamette pasta,Mrs Butterworth pancake mixes,Creamette pasta 16 OZ,Annarino pasta sauce 32 OZ
1510000256,CREAMETTE ROTINI MACARONI,pasta,Creamette,16  OZ,Creamette pasta,Raos pasta sauce,Creamette pasta 16  OZ,La Russa pasta ##########
1510000327,CREAMETTE BOW TIES,pasta,Creamette,12 OZ,Creamette pasta,Raos pasta,Creamette pasta 12 OZ,Hunt's pasta sauce 26 OZ
1510000401,CREAMETTE FETTUCCINE,pasta,Creamette,12 OZ,Creamette pasta,Castelna pasta,Creamette pasta 12 OZ,Hunt's pasta sauce 26.5 OZ
1510002582,PEN DTCH KLUSKI EGG NDLES,pasta,Pennsylvania Dutch,12 OZ,Pennsylvania Dutch pasta,Karo syrups,Pennsylvania Dutch pasta 12 OZ,Vita pasta ##########
1510002700,HEALTHY HARVEST ROTINI,pasta,Healthy Harvest,13.25 OZ,Healthy Harvest pasta,Cara Nona pasta,Healthy Harvest pasta 13.25 OZ,Maggi Spaetzle pasta 10 OZ
1510002701,CRMET HLTHY HRVST ELBOWS,pasta,Healthy Harvest,13.25 OZ,Healthy Harvest pasta,Walnut Acres pasta sauce,Healthy Harvest pasta 13.25 OZ,Mother's pasta 10 OZ
1510002702,HEALTHY HARVEST SPAHETTI,pasta,Healthy Harvest,13.25 OZ,Healthy Harvest pasta,Lucini pasta sauce,Healthy Harvest pasta 13.25 OZ,Mueller pasta 8 OZ
1510002703,HEALTHY HARVEST THIN SPAG,pasta,Healthy Harvest,13.25 OZ,Healthy Harvest pasta,Prego pasta sauce,Healthy Harvest pasta 13.25 OZ,Mueller pasta 12 OZ
1600015760,BC PANCAKE MIX BUTTERMILK,pancake mixes,Bisquick,6.75 OZ,Bisquick pancake mixes,Joey's pasta sauce,Bisquick pancake mixes 6.75 OZ,Mueller pasta 16 OZ
1600047090,BISQUICK SHK PR BTMK PNK,pancake mixes,Bisquick,7 OZ,Bisquick pancake mixes,Smuckers syrups,Bisquick pancake mixes 7 OZ,Mueller pasta 1 LB
1600047110,BISQ SHK N PR BLUBRY PNCK,pancake mixes,Bisquick,7.75 OZ,Bisquick pancake mixes,Dave's pasta sauce,Bisquick pancake mixes 7.75 OZ,Mueller pasta 32 OZ
1600047120,BISQ.SHAKE&POUR PANCAKE-O,pancake mixes,Bisquick,7 OZ,Bisquick pancake mixes,Cary's syrups,Bisquick pancake mixes 7 OZ,Mueller pasta 2 LB
1760004476,BRUCES SWT POT PANCK MX,pancake mixes,Bruce's,1.5 LB,Bruce's pancake mixes,Brother's pasta sauce,Bruce's pancake mixes 1.5 LB,Mueller pasta 3LB
1800000951,HUNGRY JACK LITE SYRUP,syrups,Hungry Jack,27.6 OZ,Hungry Jack syrups,Vermont Gold syrups,Hungry Jack syrups 27.6 OZ,La Moderna pasta 7 OZ
1800000956,PILL H J MMV REG SYRUP,syrups,Hungry Jack,27.6 OZ,Hungry Jack syrups,Chef Pizza pasta sauce,Hungry Jack syrups 27.6 OZ,Aunt Jemima syrups 24 OZ
1800000957,PILL H J MWV LITE SYRUP,syrups,Hungry Jack,27.6 OZ,Hungry Jack syrups,Annie Chns pasta,Hungry Jack syrups 27.6 OZ,Aunt Jemima syrups 24  OZ
1800000958,PILL H J BUTTER SYRUP,syrups,Hungry Jack,27.6 OZ,Hungry Jack syrups,Dreamfield pasta,Hungry Jack syrups 27.6 OZ,Aunt Jemima pancake mixes 2 LB
1800000959,PILL H J LTE BUTTER SYRUP,syrups,Hungry Jack,27.6 OZ,Hungry Jack syrups,Orzo pasta,Hungry Jack syrups 27.6 OZ,Aunt Jemima pancake mixes 32    OZ
1800028035,HNGRY JK COMP BTRMLK 4PK,pancake mixes,Hungry Jack,16 OZ,Hungry Jack pancake mixes,Patsy's pasta sauce,Hungry Jack pancake mixes 16 OZ,Aunt Jemima pancake mixes 32 OZ
1800028036,HNGRY JK BLUEBRY COMP 4PK,pancake mixes,Hungry Jack,16 OZ,Hungry Jack pancake mixes,Pastariso pasta,Hungry Jack pancake mixes 16 OZ,Aunt Jemima pancake mixes 1 LB
1800028063,H J PANCAKE ORIGINAL MIX,pancake mixes,Hungry Jack,32 OZ,Hungry Jack pancake mixes,Howard's syrups,Hungry Jack pancake mixes 32 OZ,Aunt Jemima syrups 12 OZ
1800028064,H J PANCK BTRMLK COMP MIX,pancake mixes,Hungry Jack, ,Hungry Jack pancake mixes,Arlow pasta,Hungry Jack pancake mixes  ,Aunt Jemima syrups 36 OZ
1800028065,H J PANCAKE EX LITE MIX,pancake mixes,Hungry Jack,32 OZ,Hungry Jack pancake mixes,Notta pasta,Hungry Jack pancake mixes 32 OZ,Aunt Jemima syrups 36    OZ
1800028066,H J BUTTERMILK PANCK MIX,pancake mixes,Hungry Jack, ,Hungry Jack pancake mixes,DaVinci pasta,Hungry Jack pancake mixes  ,Tree of Life syrups ##########
1800028067,H J PANCK MX EX LITE COMP,pancake mixes,Hungry Jack, ,Hungry Jack pancake mixes,Antoine's pasta,Hungry Jack pancake mixes  ,Fifty 50 syrups 12 OZ
1800063130,PILL HJ BM BULK PANCAKE,pancake mixes,Hungry Jack,32 OZ,Hungry Jack pancake mixes,Bellino pasta,Hungry Jack pancake mixes 32 OZ,White Lily pancake mixes 6 1/2 OZ
1800063550,PB HJ BTR MLK PANCAKE,pancake mixes,Hungry Jack,37 OZ,Hungry Jack pancake mixes,Cento pasta sauce,Hungry Jack pancake mixes 37 OZ,White Lily pancake mixes 5.5 OZ
1800063630,PILL HNG JCK X LT COMP PNCK MX,pancake mixes,Hungry Jack,37 OZ,Hungry Jack pancake mixes,Bellino pasta sauce,Hungry Jack pancake mixes 37 OZ,Sugar Buster pasta 16 OZ
2066200019,NEWMANS SAY CHEESE PAS,pasta sauce,Newman's,26 OZ,Newman's pasta sauce,Knott's syrups,Newman's pasta sauce 26 OZ,Sugar Buster pasta CR   16 OZ
2066200020,NEWMANS MARINARA SAUCE,pasta sauce,Newman's,26 OZ,Newman's pasta sauce,Alessi pasta,Newman's pasta sauce 26 OZ,Ronzoni pasta 13.25 OZ
2066200021,NEWMN OWN MARINARA W/MSHRM SCE,pasta sauce,Newman's,26 OZ,Newman's pasta sauce,Alessi pasta sauce,Newman's pasta sauce 26 OZ,Ronzoni pasta 12 OZ
2066200022,NEWMANS\SOCKAROONI SAUCE,pasta sauce,Newman's,26 OZ,Newman's pasta sauce,Ferrara pasta sauce,Newman's pasta sauce 26 OZ,San Giorgio pasta 16 OZ
2066200026,NWMN DIAVOLO SPCY SMR SCE,pasta sauce,Newman's,26 OZ,Newman's pasta sauce,Ferrara pasta,Newman's pasta sauce 26 OZ,San Giorgio pasta P     1 LB
2066200028,NEWMN OWN BOMBOLINA PASTA SCE,pasta sauce,Newman's,26 OZ,Newman's pasta sauce,Hodgson Mills pasta,Newman's pasta sauce 26 OZ,San Giorgio pasta P    16 OZ
2066200035,NEWMN OWN GARLIC&PPR SCE,pasta sauce,Newman's,26 OZ,Newman's pasta sauce,Hodgson Mills pancake mixes,Newman's pasta sauce 26 OZ,San Giorgio pasta 1 LB
2066200265,NEWMAN SPAG SCE TOM/GRLC,pasta sauce,Newman's,26 OZ,Newman's pasta sauce,R&F pasta,Newman's pasta sauce 26 OZ,San Giorgio pasta 12 OZ
2066200266,NEWMANS OWN VODKA SAUCE,pasta sauce,Newman's,26 OZ,Newman's pasta sauce,Wacky Mac pasta,Newman's pasta sauce 26 OZ,San Giorgio pasta 2 LB
2066200267,NEWMANS OWN PESTO/TOM SCE,pasta sauce,Newman's,26 OZ,Newman's pasta sauce,No Yolks pasta,Newman's pasta sauce 26 OZ,San Giorgio pasta 7 OZ
2066200269,NEWMANS OWN SAUS/PEPP SCE,pasta sauce,Newman's,26 OZ,Newman's pasta sauce,Mrs Weiss pasta,Newman's pasta sauce 26 OZ,San Giorgio pasta 8 OZ
2100007212,KRFT DLX OTG W/MARNRA SCE,pasta,Kraft,6.75 OZ,Kraft pasta,Amore pasta sauce,Kraft pasta 6.75 OZ,San Giorgio pasta P    12 OZ
2100007213,VELVEETA O-T-G SHLL W/CHS,pasta,Kraft,6.75 OZ,Kraft pasta,HSE syrups,Kraft pasta 6.75 OZ,China Mandarin pasta 10 OZ
2100077260,KRAFT 5 PK MAC & CHEESE,pasta,Kraft,7.25 OZ,Kraft pasta,Enrico pasta sauce,Kraft pasta 7.25 OZ,Ragu pasta sauce 14 OZ
2400033503,BRER RABBIT GOLD MOLAS,syrups,Brier Rabbit,12 OZ,Brier Rabbit syrups,Kedem pasta,Brier Rabbit syrups 12 OZ,Ragu pasta sauce 16 OZ
2400033513,BRER RABBIT\DARK MOLASSES,syrups,Brier Rabbit,12 FL OZ,Brier Rabbit syrups,Maple Grove pancake mixes,Brier Rabbit syrups 12 FL OZ,Ragu pasta sauce 26 OZ
2400033523,SOBRAB BKSTRP MOLASSES,syrups,Sobrab Bkstrp,12 OZ,Sobrab Bkstrp syrups,Maple Grove syrups,Sobrab Bkstrp syrups 12 OZ,Bertolli pasta sauce 24 OZ
2409407006,DECECCO FETTUCINI,pasta,Dececco,16 OZ,Dececco pasta,Cozy Cottage syrups,Dececco pasta 16 OZ,Ragu pasta sauce 26 OZ.
2409407007,DECECCO LINGUINE,pasta,Dececco,16 OZ,Dececco pasta,Emeril's pasta sauce,Dececco pasta 16 OZ,Ragu pasta sauce 26.3 OZ
2409407009,DECECCO CAPELLINI    16OZ,pasta,Dececco,KH# 8652,Dececco pasta,Mayacmas pasta sauce,Dececco pasta KH# 8652,Ragu pasta sauce 26    OZ
2409407011,DECECCO SPAGHETTINI  16OZ,pasta,Dececco,KH# 8651,Dececco pasta,Lyles syrups,Dececco pasta KH# 8651,Bertolli pasta sauce 26 OZ
2409407012,DECECCO SPAGHETTI    16OZ,pasta,Dececco,KH# 8623,Dececco pasta,Eddie pasta,Dececco pasta KH# 8623,Bertolli pasta sauce 15 OZ
2409407024,DE CECCO PASTA RIGATONI,pasta,Dececco,1 LB,Dececco pasta,Northwoods syrups,Dececco pasta 1 LB,Bertolli pasta sauce 16    OZ
2409407034,DECECCO FUSILLI      16OZ,pasta,Dececco,KH# 13384,Dececco pasta,Dell Alpe pasta,Dececco pasta KH# 13384,Ragu pasta sauce 6 LB 11 OZ
2409407040,DECECCO PENNE REGATE 16OZ,pasta,Dececco,KH# 8525,Dececco pasta,Classique pancake mixes,Dececco pasta KH# 8525,Ragu pasta sauce 32 OZ
2409407041,DECECCO PENNE RIGATE 16OZ,pasta,Dececco,KH# 8627,Dececco pasta,Barilla pasta,Dececco pasta KH# 8627,Ragu pasta sauce 45 OZ
2409407050,DE CECCO CONCHIGLIE RIGATTI 50,pasta,Dececco,16 OZ,Dececco pasta,Osem Bissli pancake mixes,Dececco pasta 16 OZ,Ragu pasta sauce 45 OZ PET
2409407054,DE CECCO ROTELLO WHEEL 54,pasta,Dececco,16 OZ,Dececco pasta,Darielle pasta,Dececco pasta 16 OZ,Ragu pasta sauce 45    OZ
2409407093,DECECCO FARFALLE BOW TIES,pasta,Dececco,16 OZ,Dececco pasta,Sand Mountain syrups,Dececco pasta 16 OZ,Ragu pasta sauce 45 OZ.
2409407118,DECECCO ZITA MACARONI,pasta,Dececco,16 OZ,Dececco pasta,Defino pasta,Dececco pasta 16 OZ,Ragu pasta sauce 8 OZ
2409411034,DECECCO TRI COLOR FUSILLI,pasta,Dececco,16 OZ,Dececco pasta,Roselli pasta sauce,Dececco pasta 16 OZ,Ragu pasta sauce 25.3 OZ
2409411093,DECECCO TRICOLOR FARFALLE,pasta,Dececco,16 OZ,Dececco pasta,Al Dente pasta,Dececco pasta 16 OZ,Farm Style pasta 16 OZ
2409427007,DECECCO LINGUINI,pasta,Dececco,17.5 OZ,Dececco pasta,Moonlite syrups,Dececco pasta 17.5 OZ,DaVinci syrups 6.3 OZ
2409427012,DEC WHOLE WHEAT SPAGHETTI,pasta,Dececco,17 OZ,Dececco pasta,Candoni pasta sauce,Dececco pasta 17 OZ,Kellogg syrups 23 OZ
2409427034,DE CEC FUSILLI WHL WHEAT,pasta,Dececco,16 OZ,Dececco pasta,Mlinotst pasta,Dececco pasta 16 OZ,Spring Tree syrups 8.5 OZ
2409427041,DE CEC PENNE RGT WH WHEAT,pasta,Dececco,16 OZ,Dececco pasta,Silver Palate pasta sauce,Dececco pasta 16 OZ,Spring Tree syrups 12 OZ
2409437007,DECECCO SINACH LINGUINE,pasta,Dececco,16 OZ,Dececco pasta,Edd Og pasta,Dececco pasta 16 OZ,Spring Tree syrups P    24 OZ
2409437012,DECECCO SPINACH SPAGHETTI,pasta,Dececco,16 OZ,Dececco pasta,Michele's syrups,Dececco pasta 16 OZ,Colavita pasta 16    OZ
2409437034,DE CECCO SPINACH FUSILLI,pasta,Dececco,16 OZ,Dececco pasta,Cucina pasta,Dececco pasta 16 OZ,Colavita pasta 16 OZ
2409437041,DECECCO PASTA SPIN PEN RI,pasta,Dececco,16 OZ,Dececco pasta,Quinoa pasta,Dececco pasta 16 OZ,Colavita pasta 1 LB
2418201158,EDEN TAMARI SAUCE      ED,pasta,Eden,10 OZ,Eden pasta,M C pasta sauce,Eden pasta 10 OZ,Colavita pasta sauce 16 OZ
2432142429,POMI MARINARA SAUCE,pasta sauce,Pomi,26 OZ,Pomi pasta sauce,RAC pasta sauce,Pomi pasta sauce 26 OZ,Pasta Shoppe pasta 10OZ
2472200003,ANNARINO MEAT SAUCE,pasta sauce,Annarino,31.5 OZ,Annarino pasta sauce,Barilla Plus pasta,Annarino pasta sauce 31.5 OZ,Pasta Shoppe pasta 14 OZ
2472200004,ANNARINO MEATLESS SAUCE,pasta sauce,Annarino,31.5 OZ,Annarino pasta sauce,Sinatra's pasta sauce,Annarino pasta sauce 31.5 OZ,San Marzano pasta sauce 26 OZ
2472200005,ANNARINO MUSHROOM SAUCE,pasta sauce,Annarino,31 1/2 OZ,Annarino pasta sauce,Mom's pasta sauce,Annarino pasta sauce 31 1/2 OZ,Classico pasta sauce 10 OZ
2472200010,ANNARINO MARINARA SAUCE,pasta sauce,Annarino,32 OZ,Annarino pasta sauce,Bionature pasta,Annarino pasta sauce 32 OZ,Classico pasta sauce 10    OZ
2682500951,LA RUSSA REGULAR EGG NOODLE PL,pasta,La Russa,##########,La Russa pasta,Private Label Premium pasta sauce,La Russa pasta ##########,Classico pasta sauce 26 OZ
2700042232,CHUNKY TOMATO GARLC ONION,pasta sauce,Hunt's,26 OZ,Hunt's pasta sauce,Private Label pasta sauce,Hunt's pasta sauce 26 OZ,Classico pasta sauce 16    OZ
2700042238,HUNT TRADITIONAL SAUCE,pasta sauce,Hunt's,26.5 OZ,Hunt's pasta sauce,Private Label Value pasta,Hunt's pasta sauce 26.5 OZ,Classico pasta sauce 16 OZ
2700042239,HUNTS SPAG.SAUCE MUSHROOM,pasta sauce,Hunt's,26 OZ,Hunt's pasta sauce,Private Label syrups,Hunt's pasta sauce 26 OZ,Classico pasta sauce 26    OZ
2700042240,HNT MEAT SPAGHETTI SAUCE,pasta sauce,Hunt's,26.5 OZ,Hunt's pasta sauce,Private Label Value syrups,Hunt's pasta sauce 26.5 OZ,Classico pasta sauce 15 OZ
